environment,benchmark,metric,unit,sample_count,valid_count,mean,median,stdev,cv_percent,min,max,p50,p95,p99
host,memory_deterministic,parameters.stride_bytes,,12,12,64.0,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0
host,memory_deterministic,system_time_sec,s,12,12,0.0225,0.02,0.004523,20.1008,0.02,0.03,0.02,0.03,0.03
host,memory_deterministic,telemetry.cpu_percentage,%,12,12,98.916667,99.0,0.792961,0.8016,98.0,100.0,99.0,100.0,100.0
host,memory_deterministic,telemetry.max_rss_kb,KB,12,12,66070.666667,66124.0,65.910867,0.0998,65996.0,66124.0,66124.0,66124.0,66124.0
host,memory_deterministic,telemetry.system_time_sec,s,12,12,0.0225,0.02,0.004523,20.1008,0.02,0.03,0.02,0.03,0.03
host,memory_deterministic,telemetry.user_time_sec,s,12,12,0.085833,0.08,0.015643,18.2246,0.07,0.12,0.08,0.1145,0.1189
host,memory_deterministic,telemetry.vsz_kb,,12,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,memory_deterministic,telemetry.wall_time_sec,s,12,12,0.113333,0.105,0.017233,15.2054,0.1,0.15,0.105,0.1445,0.1489
host,memory_deterministic,throughput_mb_s,MB/s,12,12,3827.6475,4056.995,486.238635,12.7033,2980.44,4410.59,4056.995,4365.127,4401.4974
host,memory_deterministic,transferred_bytes,,12,12,452984832.0,452984832.0,0.0,0.0,452984832.0,452984832.0,452984832.0,452984832.0,452984832.0
host,memory_deterministic,user_time_sec,s,12,12,0.085833,0.08,0.015643,18.2246,0.07,0.12,0.08,0.1145,0.1189
host,memory_deterministic,wall_time_sec,s,12,12,0.113333,0.105,0.017233,15.2054,0.1,0.15,0.105,0.1445,0.1489
host,network_ping,cpu_percentage,%,3,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,network_ping,max_rss_kb,KB,3,3,2630.666667,2676.0,78.519637,2.9848,2540.0,2676.0,2676.0,2676.0,2676.0
host,network_ping,packet_loss_percent,%,3,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,network_ping,packets_transmitted,,3,3,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0
host,network_ping,rtt_avg_ms,ms,3,3,0.062333,0.06,0.01464,23.4868,0.049,0.078,0.06,0.0762,0.07764
host,network_ping,rtt_max_ms,ms,3,3,0.087333,0.081,0.012741,14.5889,0.079,0.102,0.081,0.0999,0.10158
host,network_ping,rtt_mdev_ms,ms,3,3,0.015,0.016,0.002646,17.6383,0.012,0.017,0.016,0.0169,0.01698
host,network_ping,rtt_min_ms,ms,3,3,0.042667,0.043,0.008505,19.9334,0.034,0.051,0.043,0.0502,0.05084
host,network_ping,system_time_sec,s,3,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,network_ping,telemetry.cpu_percentage,%,3,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,network_ping,telemetry.max_rss_kb,KB,3,3,2630.666667,2676.0,78.519637,2.9848,2540.0,2676.0,2676.0,2676.0,2676.0
host,network_ping,telemetry.system_time_sec,s,3,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,network_ping,telemetry.user_time_sec,s,3,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,network_ping,telemetry.vsz_kb,,3,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,network_ping,telemetry.wall_time_sec,s,3,3,4.09,4.08,0.026458,0.6469,4.07,4.12,4.08,4.116,4.1192
host,network_ping,user_time_sec,s,3,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,network_ping,wall_time_sec,s,3,3,4.09,4.08,0.026458,0.6469,4.07,4.12,4.08,4.116,4.1192
host,scheduling_deterministic,cpu_percentage,%,9,9,86.333333,85.0,4.444097,5.1476,79.0,92.0,85.0,91.6,91.92
host,scheduling_deterministic,elapsed_sec,s,9,9,0.092738,0.093167,0.007658,8.2573,0.078471,0.106563,0.093167,0.103236,0.105898
host,scheduling_deterministic,iteration,,9,9,2.333333,2.0,1.414214,60.6092,1.0,5.0,2.0,4.6,4.92
host,scheduling_deterministic,latency_us,us,9,9,2.318333,2.329,0.191437,8.2575,1.962,2.664,2.329,2.5808,2.64736
host,scheduling_deterministic,max_rss_kb,KB,9,9,592.888889,592.0,2.666667,0.4498,592.0,600.0,592.0,596.8,599.36
