environment,benchmark,metric,unit,quality_flag,total_runs,successful_runs,failed_runs,unavailable_runs,mean,median,min,max,stdev,cv_percent,p50,p95,p99,traceable_run_count
host,app_latency,total_duration_ms.p99,ms,PASS,15,15,0,0,1.102575,0.96835,0.359221,1.826209,0.460508,41.7666,0.96835,1.822206,1.825408,13
host,app_latency,total_duration_ms.stdev,,PASS,15,15,0,0,0.236008,0.210831,0.065758,0.432504,0.108143,45.8216,0.210831,0.432062,0.432416,13
host,app_latency,total_duration_ms.total_count,,PASS,15,15,0,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,13
host,app_latency,total_duration_ms.valid_count,,PASS,15,15,0,0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,13
host,app_latency,total_ms.max,,PASS,15,15,0,0,1.750287,1.646426,0.627829,3.64146,0.918289,52.465,1.646426,3.525946,3.618357,13
host,app_latency,total_ms.mean,,PASS,15,15,0,0,0.281789,0.253778,0.134737,0.756512,0.150385,53.3677,0.253778,0.483213,0.701852,13
host,app_latency,total_ms.median,,PASS,15,15,0,0,0.209192,0.189091,0.1042,0.687213,0.149679,71.5512,0.189091,0.414683,0.632707,13
host,app_latency,total_ms.min,,PASS,15,15,0,0,0.107156,0.090284,0.076706,0.28231,0.056284,52.5252,0.090284,0.201704,0.266189,13
host,app_latency,total_ms.p50,ms,PASS,15,15,0,0,0.209192,0.189091,0.1042,0.687213,0.149679,71.5512,0.189091,0.414683,0.632707,13
host,app_latency,total_ms.p95,ms,PASS,15,15,0,0,0.632215,0.624198,0.19907,1.385388,0.285484,45.1562,0.624198,1.046495,1.317609,13
host,app_latency,total_ms.p99,ms,PASS,15,15,0,0,1.102575,0.96835,0.359221,1.826209,0.460508,41.7666,0.96835,1.822206,1.825408,13
host,app_latency,total_ms.stdev,,PASS,15,15,0,0,0.236008,0.210831,0.065758,0.432504,0.108143,45.8216,0.210831,0.432062,0.432416,13
